MLinkID,USNode,DSNode,LinkReach,ReachElement
33407,AAQ533,AAQ557,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.1.2,9
33408,AAQ557,AAQ558,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.1.2,8
33393,AAQ532,AAQ559,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.1.1.2,2
33395,AAQ541,AAQ560,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.1.1.1,1
33394,AAQ559,AAQ560,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.1.1.2,1
33389,AAQ544,AAQ561,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.3.1,2
33390,AAQ561,AAQ562,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.3.1,1
33323,AAQ576,AAQ562,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.3.2,1
33384,AAQ567,AAQ563,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.2.2.1,1
33324,AAQ546,AAQ563,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.2.2.2,1
33385,AAQ563,AAQ564,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.2.2,2
33410,AAQ569,AAQ565,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.2,6
33386,AAQ565,AAQ566,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.2,5
33412,AAQ570,AAQ569,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.2.1,1
33411,AAQ564,AAQ569,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.2.2,1
33382,AAQ568,AAQ571,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.2.1,1
33381,AAQ548,AAQ571,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.2.2,1
33379,AAQ550,AAQ572,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.1,7
33377,AAQ552,AAQ573,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.3,7
33375,AAQ554,AAQ574,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.2,7
33373,AAQ556,AAQ575,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.2.1.1.2.1.1.3,7
33401,AAQ539,AAQ580,1.2.2.1.1.3.1.2.2.1.1.2.1.2.2.1.1.1.1.2.1,1
