MLinkID,USNode,DSNode,LinkReach,ReachElement
16438,ABR774,ABR738,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.3,2
59101,ABR741,ABR740,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.1,1
16528,ABR730,ABR740,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.2,1
59103,ABR743,ABR741,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.1,2
16453,ABR744,ABR743,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.1,3
16462,ABR747,ABR746,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1,1
16461,ABR737,ABR746,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2,1
16460,ABR745,ABR746,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.3,1
16463,ABR777,ABR747,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1,2
16455,ABR749,ABR748,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.1,1
16454,ABR740,ABR748,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2,1
16457,ABR806,ABR750,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.2,2
16458,ABR752,ABR751,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1,1
16456,ABR750,ABR751,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.2,1
16529,ABR753,ABR752,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.1,1
16459,ABR746,ABR752,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2,1
16530,ABR786,ABR753,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.1,2
16434,ABR756,ABR755,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2.1.1.2,2
16428,ABR754,ABR757,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.1.2.1.2.1,1
16427,ABR758,ABR757,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.1.2.1.2.2,1
16524,ABR710,ABR759,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.1.1,1
16416,ABR760,ABR759,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.1.2,1
58327,ABR875,ABR760,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.1.2,2
16432,ABR763,ABR762,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2.1.2,2
16426,ABR765,ABR764,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.1.2.1.1,1
16404,ABR805,ABR764,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.1.2.1.2,1
16425,ABR764,ABR768,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.1.2.1,1
16424,ABR769,ABR768,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1.1.1.2.2,1
16414,ABR771,ABR770,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.1,4
16415,ABR759,ABR771,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.1,5
16411,ABR773,ABR772,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.2.2,4
